# Contents:,Laser Egg 'E569' 30 days raw data
# Generated At:,Kaiterra 2019-12-07 13:48
# Time Span:,2019-11-07 00:00 to 2019-12-07 00:00
# Row Count:,520
# Time Zone:,UTC+0530
Time Point,PM10 (µg/m³),PM2.5 (µg/m³),humidity (%),temp (C),Overall Index (IN),Primary Pollutant
2019-11-07 14:45:00,358,318,46.68,31.64,452,PM2.5
2019-11-07 14:46:00,350,316,53.3,29.33,451,PM2.5
2019-11-07 14:47:00,366,315,53.31,29.32,450,PM2.5
2019-11-07 14:48:00,357,303,53.5,29.3,441,PM2.5
2019-11-07 14:49:00,355,312,53.5,29.28,448,PM2.5
2019-11-07 14:50:00,339,301,53.5,29.25,439,PM2.5
2019-11-07 14:51:00,341,304,53.68,29.23,442,PM2.5
2019-11-07 14:52:00,343,305,53.89,29.23,442,PM2.5
2019-11-07 14:53:00,339,301,53.92,29.22,439,PM2.5
2019-11-07 14:54:00,330,289,53.56,29.22,430,PM2.5
2019-11-07 14:55:00,321,294,53.64,29.21,434,PM2.5
2019-11-07 14:56:00,330,290,53.72,29.21,431,PM2.5
2019-11-07 14:57:00,314,282,53.55,29.19,425,PM2.5
2019-11-07 14:58:00,326,282,53.46,29.19,425,PM2.5
2019-11-07 14:59:00,322,285,53.43,29.18,427,PM2.5
2019-11-07 15:00:00,314,281,53.37,29.18,424,PM2.5
2019-11-07 15:15:00,248,221,51.45,28.91,378,PM2.5
2019-11-07 15:16:00,253,220,51.51,28.89,377,PM2.5
2019-11-07 15:17:00,242,221,51.51,28.88,378,PM2.5
2019-11-07 15:18:00,251,220,51.49,28.87,377,PM2.5
2019-11-07 15:19:00,245,224,51.56,28.84,380,PM2.5
2019-11-07 15:20:00,250,218,51.57,28.78,375,PM2.5
2019-11-07 15:21:00,240,216,51.79,28.7,374,PM2.5
2019-11-07 15:22:00,258,227,52.02,28.62,382,PM2.5
2019-11-07 15:23:00,259,230,52.2,28.52,385,PM2.5
2019-11-07 15:24:00,253,229,52.4,28.41,384,PM2.5
2019-11-07 15:25:00,272,237,52.68,28.3,390,PM2.5
2019-11-07 15:26:00,253,228,52.99,28.19,383,PM2.5
2019-11-07 15:27:00,268,236,53.3,28.1,389,PM2.5
2019-11-07 15:28:00,264,235,53.64,28.01,388,PM2.5
2019-11-07 15:29:00,268,243,53.88,27.93,395,PM2.5
2019-11-07 15:30:00,267,240,54.1,27.84,392,PM2.5
2019-11-07 15:31:00,274,246,54.35,27.77,397,PM2.5
2019-11-07 15:32:00,270,237,54.55,27.7,390,PM2.5
2019-11-07 15:33:00,280,243,54.7,27.62,395,PM2.5
2019-11-07 15:34:00,275,237,54.91,27.55,390,PM2.5
2019-11-07 15:35:00,281,250,55.08,27.48,400,PM2.5
2019-11-07 15:36:00,274,247,55.31,27.4,398,PM2.5
2019-11-07 15:37:00,287,252,55.53,27.34,402,PM2.5
2019-11-07 15:38:00,290,258,55.72,27.27,406,PM2.5
2019-11-07 15:39:00,289,253,55.89,27.2,402,PM2.5
2019-11-07 15:40:00,296,254,56.08,27.14,403,PM2.5
2019-11-07 15:41:00,289,251,56.26,27.07,401,PM2.5
2019-11-07 15:42:00,287,249,56.39,27.03,399,PM2.5
2019-11-07 15:43:00,283,246,56.47,26.98,397,PM2.5
2019-11-07 15:44:00,284,255,56.58,26.94,404,PM2.5
2019-11-07 15:45:00,283,250,56.68,26.88,400,PM2.5
2019-11-07 15:46:00,289,252,56.75,26.83,402,PM2.5
2019-11-07 15:47:00,285,253,56.8,26.79,402,PM2.5
2019-11-07 15:48:00,289,255,56.88,26.76,404,PM2.5
2019-11-07 15:49:00,292,261,56.91,26.71,408,PM2.5
2019-11-07 15:50:00,290,251,56.96,26.66,401,PM2.5
2019-11-07 15:51:00,288,249,57,26.63,399,PM2.5
2019-11-07 15:52:00,297,253,57.11,26.6,402,PM2.5
2019-11-07 15:53:00,285,258,57.15,26.58,406,PM2.5
2019-11-07 15:54:00,293,254,57.09,26.55,403,PM2.5
2019-11-07 15:55:00,279,248,57.11,26.52,398,PM2.5
2019-11-07 15:56:00,284,250,57.01,26.49,400,PM2.5
2019-11-07 15:57:00,283,250,57.07,26.46,400,PM2.5
2019-11-07 15:58:00,276,244,57.01,26.42,395,PM2.5
2019-11-07 15:59:00,284,244,56.98,26.41,395,PM2.5
2019-11-07 16:00:00,294,253,56.97,26.37,402,PM2.5
2019-11-07 16:01:00,272,242,57.08,26.34,394,PM2.5
2019-11-07 16:02:00,279,245,57.05,26.31,396,PM2.5
2019-11-07 16:03:00,278,240,57.03,26.29,392,PM2.5
2019-11-07 16:04:00,272,242,56.94,26.27,394,PM2.5
2019-11-07 16:05:00,280,238,56.86,26.25,391,PM2.5
2019-11-07 16:06:00,268,239,56.92,26.21,392,PM2.5
2019-11-07 16:07:00,259,239,56.81,26.18,392,PM2.5
2019-11-07 16:08:00,265,230,56.78,26.16,385,PM2.5
2019-11-07 16:09:00,266,238,56.85,26.14,391,PM2.5
2019-11-07 16:10:00,263,242,56.9,26.11,394,PM2.5
2019-11-07 16:11:00,268,236,56.93,26.07,389,PM2.5
2019-11-07 16:12:00,262,236,56.99,26.06,389,PM2.5
2019-11-07 16:13:00,269,241,57.02,26.03,393,PM2.5
2019-11-07 16:14:00,257,234,57.09,26.01,388,PM2.5
2019-11-07 16:15:00,276,242,57.01,25.98,394,PM2.5
2019-11-07 16:16:00,273,244,57.1,25.96,395,PM2.5
2019-11-07 16:17:00,266,237,57.13,25.95,390,PM2.5
2019-11-07 16:18:00,269,235,57.11,25.92,388,PM2.5
2019-11-07 16:19:00,267,240,57.19,25.91,392,PM2.5
2019-11-07 16:20:00,264,237,57.28,25.89,390,PM2.5
2019-11-07 16:21:00,272,239,57.4,25.87,392,PM2.5
2019-11-07 16:22:00,267,236,57.52,25.86,389,PM2.5
2019-11-07 16:23:00,261,233,57.65,25.85,387,PM2.5
2019-11-07 16:24:00,271,232,57.7,25.83,386,PM2.5
2019-11-07 16:25:00,261,237,57.68,25.82,390,PM2.5
2019-11-07 16:26:00,270,241,57.68,25.8,393,PM2.5
2019-11-07 16:27:00,272,238,57.71,25.78,391,PM2.5
2019-11-07 16:28:00,269,239,57.74,25.77,392,PM2.5
2019-11-07 16:29:00,268,240,57.79,25.75,392,PM2.5
2019-11-07 16:30:00,264,241,57.88,25.73,393,PM2.5
2019-11-07 16:31:00,266,234,57.92,25.72,388,PM2.5
2019-11-07 16:32:00,266,235,57.94,25.7,388,PM2.5
2019-11-07 16:33:00,266,239,57.99,25.67,392,PM2.5
2019-11-07 16:34:00,272,238,58.13,25.65,391,PM2.5
2019-11-07 16:35:00,281,247,58.14,25.64,398,PM2.5
2019-11-07 16:36:00,271,240,58.22,25.63,392,PM2.5
2019-11-07 16:37:00,279,241,58.28,25.61,393,PM2.5
2019-11-07 16:38:00,285,246,58.37,25.6,397,PM2.5
2019-11-07 16:39:00,268,241,58.38,25.61,393,PM2.5
2019-11-07 16:40:00,273,242,58.43,25.6,394,PM2.5
2019-11-07 16:41:00,283,249,58.41,25.59,399,PM2.5
2019-11-07 16:42:00,286,254,58.28,25.58,403,PM2.5
2019-11-07 16:43:00,285,246,58.3,25.57,397,PM2.5
2019-11-07 16:44:00,276,247,58.22,25.56,398,PM2.5
2019-11-07 16:45:00,289,248,58.25,25.56,398,PM2.5
2019-11-07 16:46:00,295,254,58.27,25.54,403,PM2.5
2019-11-07 16:47:00,289,249,58.34,25.52,399,PM2.5
2019-11-07 16:48:00,284,247,58.43,25.52,398,PM2.5
2019-11-07 16:49:00,274,240,58.63,25.51,392,PM2.5
2019-11-07 16:50:00,292,246,58.78,25.5,397,PM2.5
2019-11-07 16:51:00,273,241,58.9,25.49,393,PM2.5
2019-11-07 16:52:00,281,243,59.02,25.47,395,PM2.5
2019-11-07 16:53:00,279,246,59.11,25.47,397,PM2.5
2019-11-07 16:54:00,279,238,59.15,25.49,391,PM2.5
2019-11-07 16:55:00,275,241,59.19,25.5,393,PM2.5
2019-11-07 16:56:00,276,246,59.26,25.5,397,PM2.5
2019-11-07 16:57:00,274,243,59.27,25.5,395,PM2.5
2019-11-07 16:58:00,277,243,59.28,25.5,395,PM2.5
2019-11-07 16:59:00,281,242,59.3,25.5,394,PM2.5
2019-11-07 17:00:00,270,238,59.4,25.51,391,PM2.5
2019-11-07 17:01:00,269,239,59.39,25.52,392,PM2.5
2019-11-07 17:02:00,274,240,59.48,25.51,392,PM2.5
2019-11-07 17:03:00,276,241,59.5,25.5,393,PM2.5
2019-11-07 17:04:00,263,235,59.57,25.5,388,PM2.5
2019-11-07 17:05:00,267,232,59.66,25.51,386,PM2.5
2019-11-07 17:06:00,271,237,59.71,25.51,390,PM2.5
2019-11-07 17:07:00,267,236,59.71,25.51,389,PM2.5
2019-11-07 17:08:00,261,233,59.78,25.5,387,PM2.5
2019-11-07 17:09:00,263,236,59.86,25.51,389,PM2.5
2019-11-07 17:10:00,268,238,60.01,25.51,391,PM2.5
2019-11-07 17:11:00,267,234,59.96,25.5,388,PM2.5
2019-11-07 17:12:00,271,243,60,25.5,395,PM2.5
2019-11-07 17:13:00,267,241,60,25.5,393,PM2.5
2019-11-07 17:14:00,271,237,60.04,25.51,390,PM2.5
2019-11-07 17:15:00,259,232,60.09,25.51,386,PM2.5
2019-11-07 17:16:00,274,236,60.19,25.51,389,PM2.5
