# Contents:,Laser Egg 'E124' 30 days raw data
# Generated At:,Kaiterra 2019-12-07 13:38
# Time Span:,2019-11-07 00:00 to 2019-12-07 00:00
# Row Count:,5914
# Time Zone:,UTC+0530
Time Point,PM10 (µg/m³),PM2.5 (µg/m³),humidity (%),temp (C),Overall Index (IN),Primary Pollutant
2019-11-24 15:09:00,89,80,49.98,26.76,167,PM2.5
2019-11-24 15:10:00,91,79,51.49,26.26,163,PM2.5
2019-11-24 15:11:00,89,80,51.47,26.28,167,PM2.5
2019-11-24 15:12:00,79,70,51.49,26.33,133,PM2.5
2019-11-24 15:13:00,81,77,51.38,26.37,157,PM2.5
2019-11-24 15:14:00,84,76,51.26,26.42,153,PM2.5
2019-11-24 15:15:00,80,73,51.14,26.46,143,PM2.5
2019-11-24 15:16:00,79,73,51.04,26.51,143,PM2.5
2019-11-24 15:17:00,88,76,51.3,26.57,153,PM2.5
2019-11-24 15:18:00,72,70,51.08,26.62,133,PM2.5
2019-11-24 15:19:00,83,76,51.12,26.69,153,PM2.5
2019-11-24 15:20:00,79,68,50.96,26.76,127,PM2.5
2019-11-24 15:21:00,82,78,50.91,26.83,160,PM2.5
2019-11-24 15:22:00,88,78,50.86,26.89,160,PM2.5
2019-11-24 15:23:00,82,76,50.56,26.95,153,PM2.5
2019-11-24 15:24:00,83,72,50.7,27,140,PM2.5
2019-11-24 15:25:00,82,71,50.59,27.04,137,PM2.5
2019-11-24 15:26:00,80,74,50.64,27.06,147,PM2.5
2019-11-24 15:27:00,85,77,50.57,27.11,157,PM2.5
2019-11-24 15:28:00,83,75,50.36,27.13,150,PM2.5
2019-11-24 15:29:00,84,76,50.23,27.16,153,PM2.5
2019-11-24 15:30:00,88,79,50.3,27.17,163,PM2.5
2019-11-24 15:31:00,85,77,50.29,27.21,157,PM2.5
2019-11-24 15:32:00,82,76,50.21,27.25,153,PM2.5
2019-11-24 15:33:00,80,74,50.14,27.27,147,PM2.5
2019-11-24 15:34:00,82,77,50.09,27.3,157,PM2.5
2019-11-24 15:35:00,84,73,50.17,27.32,143,PM2.5
2019-11-24 15:36:00,83,76,50.08,27.34,153,PM2.5
2019-11-24 15:37:00,86,78,50.06,27.35,160,PM2.5
2019-11-24 15:38:00,83,76,50.14,27.36,153,PM2.5
2019-11-24 15:39:00,85,77,50.08,27.38,157,PM2.5
2019-11-24 15:40:00,82,77,50.01,27.37,157,PM2.5
2019-11-24 15:41:00,86,76,49.99,27.38,153,PM2.5
2019-11-24 15:42:00,81,73,50.01,27.39,143,PM2.5
2019-11-24 15:43:00,83,73,50.1,27.39,143,PM2.5
2019-11-24 15:44:00,88,77,50.11,27.4,157,PM2.5
2019-11-24 15:45:00,86,76,50.04,27.4,153,PM2.5
2019-11-24 15:46:00,87,78,50.08,27.4,160,PM2.5
2019-11-24 15:47:00,80,70,50.12,27.39,133,PM2.5
2019-11-24 15:48:00,81,75,50.14,27.41,150,PM2.5
2019-11-24 15:49:00,77,69,50.08,27.41,130,PM2.5
2019-11-24 15:50:00,84,74,50.1,27.41,147,PM2.5
2019-11-24 15:51:00,78,70,50.12,27.4,133,PM2.5
2019-11-24 15:52:00,86,74,50.13,27.4,147,PM2.5
2019-11-24 15:53:00,88,81,50.15,27.4,170,PM2.5
2019-11-24 15:54:00,85,77,50.15,27.4,157,PM2.5
2019-11-24 15:55:00,72,67,50.15,27.38,123,PM2.5
2019-11-24 15:56:00,81,70,50.18,27.38,133,PM2.5
2019-11-24 15:57:00,86,75,50.23,27.38,150,PM2.5
2019-11-24 15:58:00,83,76,50.22,27.37,153,PM2.5
2019-11-24 15:59:00,89,81,50.25,27.36,170,PM2.5
2019-11-24 16:00:00,81,76,50.3,27.35,153,PM2.5
2019-11-24 16:01:00,89,79,50.25,27.34,163,PM2.5
2019-11-24 16:02:00,92,82,50.25,27.33,173,PM2.5
2019-11-24 16:03:00,91,81,50.31,27.31,170,PM2.5
2019-11-24 16:04:00,92,82,50.32,27.3,173,PM2.5
2019-11-24 16:05:00,88,78,50.33,27.29,160,PM2.5
2019-11-24 16:06:00,91,81,50.34,27.27,170,PM2.5
2019-11-24 16:07:00,81,72,50.48,27.27,140,PM2.5
2019-11-24 16:08:00,89,76,50.39,27.25,153,PM2.5
2019-11-24 16:09:00,86,75,50.44,27.23,150,PM2.5
2019-11-24 16:10:00,90,80,50.47,27.22,167,PM2.5
2019-11-24 16:11:00,87,78,50.55,27.2,160,PM2.5
2019-11-24 16:12:00,95,85,50.53,27.19,183,PM2.5
2019-11-24 16:13:00,89,79,50.56,27.17,163,PM2.5
2019-11-24 16:14:00,88,83,50.6,27.16,177,PM2.5
2019-11-24 16:15:00,90,80,50.63,27.14,167,PM2.5
2019-11-24 16:16:00,92,78,50.68,27.12,160,PM2.5
2019-11-24 16:17:00,77,67,50.72,27.1,123,PM2.5
2019-11-24 16:18:00,86,80,50.75,27.09,167,PM2.5
2019-11-24 16:19:00,88,80,50.76,27.07,167,PM2.5
2019-11-24 16:20:00,89,81,50.87,27.04,170,PM2.5
2019-11-24 16:21:00,93,83,50.88,27.03,177,PM2.5
2019-11-24 16:22:00,96,80,50.9,27.01,167,PM2.5
2019-11-24 16:23:00,97,87,50.96,26.99,190,PM2.5
2019-11-24 16:24:00,90,82,50.99,26.97,173,PM2.5
2019-11-24 16:25:00,94,82,51.03,26.95,173,PM2.5
2019-11-24 16:26:00,94,84,51.1,26.93,180,PM2.5
2019-11-24 16:27:00,93,85,51.12,26.91,183,PM2.5
2019-11-24 16:28:00,96,84,51.17,26.87,180,PM2.5
2019-11-24 16:29:00,98,85,51.23,26.85,183,PM2.5
2019-11-24 16:30:00,94,84,51.22,26.84,180,PM2.5
